,meterID,testYear,installationYear,meterSize,meterMake,accuracy,gallons_lost
1746,18055191,2019,2010,0.625,BADGER,100.63,-0.6299999999999955
1762,18102376,2019,2010,0.625,BADGER,100.44,-0.4399999999999977
1764,18656160,2018,2003,0.625,BADGER,100.14,-0.14000000000000057
1769,28996944,2018,1983,0.625,NEPTUNE,101.55,-1.5499999999999972
1770,94707899,2019,1994,0.625,BADGER,100.05,-0.04999999999999716
1771,90366970,2018,2011,0.625,NEPTUNE,100.76,-0.7600000000000051
1772,41748233,2018,1996,0.625,NEPTUNE,100.22,-0.21999999999999886
1780,18376616,2019,2010,0.625,BADGER,100.63,-0.6299999999999955
1786,94205068,2019,1994,0.625,BADGER,100.73,-0.730000000000004
1792,73696276,2019,2000,0.625,NEPTUNE,101.24,-1.2399999999999949
1797,80324944,2018,2004,0.625,NEPTUNE,100.32,-0.3199999999999932
1799,28883580,2018,1983,0.625,NEPTUNE,101.62,-1.6200000000000045
1801,17232880,2018,2010,1.0,BADGER,100.67,-0.6700000000000017
1812,12062592,2018,2010,1.0,BADGER,100.18,-0.18000000000000682
1813,15201789,2019,2010,0.625,BADGER,100.86,-0.8599999999999994
1821,41012058,2019,1995,0.625,NEPTUNE,100.24,-0.23999999999999488
1826,43765871,2018,1997,0.625,NEPTUNE,100.29,-0.29000000000000625
1833,18829090,2018,2018,0.625,BADGER,100.63,-0.6299999999999955
1834,42499989,2019,1996,0.625,NEPTUNE,100.03,-0.030000000000001137
1836,60811854,2018,2013,1.0,NEPTUNE,100.4,-0.4000000000000057
1837,18855322,2019,2003,0.625,BADGER,100.31,-0.3100000000000023
1843,90847731,2018,1990,0.625,BADGER,100.56,-0.5600000000000023
1849,18432695,2018,2002,0.625,BADGER,100.22,-0.21999999999999886
1860,15340284,2018,2010,1.0,BADGER,100.25,-0.25
1870,3492682,2018,1957,0.625,TRIDENT,100.08,-0.0799999999999983
1878,80863353,2019,2005,0.625,NEPTUNE,100.25,-0.25
1880,16587172,2019,2010,0.625,BADGER,100.77,-0.769999999999996
1884,79405713,2019,2004,0.625,NEPTUNE,100.23,-0.23000000000000398
1892,17566187,2018,2001,0.625,BADGER,100.34,-0.3400000000000034
1893,32799747,2019,1988,0.625,NEPTUNE,100.36,-0.35999999999999943
1896,29062726,2018,1983,0.625,NEPTUNE,100.03,-0.030000000000001137
1898,41161884,2019,1995,0.625,NEPTUNE,100.01,-0.010000000000005116
1899,14412236,2019,2014,0.625,BADGER,100.25,-0.25
1919,19078535,2018,2003,0.625,BADGER,100.12,-0.12000000000000455
1921,31141889,2019,1980,0.625,NEPTUNE,101.76,-1.7600000000000051
1927,18856084,2018,2003,0.625,BADGER,100.12,-0.12000000000000455
1929,94705548,2018,1994,0.625,BADGER,100.87,-0.8700000000000045
1938,16722521,2019,2010,0.625,BADGER,100.22,-0.21999999999999886
1945,13622461,2019,2000,0.625,BADGER,100.8,-0.7999999999999972
1946,74230546,2019,2000,0.625,NEPTUNE,100.14,-0.14000000000000057
1949,80862866,2019,2005,0.625,NEPTUNE,100.12,-0.12000000000000455
1950,17729077,2019,2017,0.625,BADGER,100.98,-0.980000000000004
1957,8781150,2019,1958,0.625,TRIDENT,100.39,-0.39000000000000057
1959,15555470,2019,2010,0.625,BADGER,100.31,-0.3100000000000023
